name,price,brand,model name,color,screensize
"ZEBRONICS ZEB-FIT550CH, Smart Fitness Band with Color Display, Heart Rate Monitor, Pedometer,Sleep Monitoring, Caller ID,Incoming Call Rejection & Music Control. (Blue)",null,ZEBRONICS,null,Blue,null
"ZEBRONICS ZEB-FIT8220CH Smart Watch with 4.3cm Large Square Touch Display & Companion 110 Wireless Mouse Combo with Bluetooth multiconnect, 2.4GHz Receiver, 2 Months* Backup, 1600DPI",null,ZEBRONICS,null,null,null
"ZEBRONICS ZEB-FIT4220CH Smart Fitness Watch with Call Function via Built-in Speaker and Mic & Zeb-FIT 7220CH Bluetooth Smart Watch,1.75""(4.4cm) Full Touch with 2.5D Curved Screen,Metal Body",null,ZEBRONICS,null,null,null
"ZEBRONICS Iconic Ultra AMOLED Smart Watch with Calling Bluetooth 5.1, 1.8"" Large 2.5D Screen, Voice Assistant, Always ON Display, Built-in Rechargeable Battery & Female Health (Black)","11,499",ZEBRONICS,ZEB FIT 4 - BLACK (ICONIC ULTRA),Black,null
"ZEBRONICS ZEB-FIT7220CH Bluetooth Smart Watch,4.4cm(1.75"") Full Touch Curved Screen,Metal Body & Metal Strap & Zeb-Thunder Bluetooth Wireless Over Ear Headphone FM, mSD, 9 hrs Playback with Mic",null,ZEBRONICS,null,null,null
ZEBRONICS Smart Fitness Watch Zeb fit 90ch,"1,799",ZEBRONICS,FIT 90CH,Black,4.29 Centimetres
"ZEBRONICS ZEB-FIT7220CH Bluetooth Smart Watch & Zeb-Sound Bomb 1 TWS Earbuds with BT5.0, Up to 12H Playback, Touch Controls, Voice Assistant, Splash Proof with Type C Portable Charging Case (Black)",null,ZEBRONICS,null,null,null
"(Renewed) ZEBRONICS ZEB-FIT7220CH Smart Fitness Watch with Call Function via Built-in Speaker & Mic, 2.5D Curved Glass 1.75 inches Square Display, Metal Body, 7-Day Data Storage, SpO2, BP & HR Monitor (Black)",null,ZEBRONICS,ZEB-FIT7220CH,Black,4.4 Centimetres
"ZEBRONICS ZEB-FIT8220CH Smart Watch with 4.3cm Large Square Touch Display & Companion 110 Wireless Mouse Combo with Bluetooth multiconnect, 2.4GHz Receiver, 2 Months* Backup",null,ZEBRONICS,null,null,null
"ZEBRONICS Zeb-FIT ME Smart Watch with Heart Rate, SpO2, IP68 Waterproof, 14 Sport Mode, Customizable face, Notifications for Calls / Messages, app Control and Meditative Breathing(Black)","1,699",ZEBRONICS,ZEB-FIT ME (BLACK),Black,3.3 Centimetres
