Name,price,Brand,Model Name,Style,Colour,Screen Size,Series,Special Feature,Target Audience,Age Range (Description),Shape,Item Dimensions LxWxH,Item Weight,Battery Life
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution","1,799",Fire-Boltt,Ninja Call Pro,Modern,Black,1.83 Inches,,,,,,,,
"Fire-Boltt Gladiator 1.96"" Biggest Display Smart Watch with Bluetooth Calling, Voice Assistant &123 Sports Modes, 8 Unique UI Interactions, SpO2, 24/7 Heart Rate Tracking","2,999",Fire-Boltt,Gladiator,Modern,Black,1.96 Inches,,,,,,,,
"Fire-Boltt Phoenix Smart Watch with Bluetooth Calling 1.3"",120+ Sports Modes, 240*240 PX High Res with SpO2, Heart Rate Monitoring & IP67 Rating",nan,Fire-Boltt,,Modern,Rose Gold,1.3 Inches,,,,,,,,
"Fire-Boltt Astro 1.78"" AMOLED Display Smartwatch, Always On Display, Bluetooth Calling with AI Voice, 110+ Sports Modes, Rotating Button Technology, High Resolution of 368*448 Pixels",,Fire-Boltt,,Modern,Black,1.78 Inches,,,,,,,,
"Fire-Boltt Infinity 1.6"" Round Display Smart Watch, 400*400 Pixel High Resolution, Bluetooth Calling with Voice Assistance, 300 Plus Sports Modes & Internal Storage of 4GB to Store 300+ Songs","4,999",Fire-Boltt,Infinity,Modern,Black,1.6 Inches,,,,,,,,
"Fire-Boltt Visionary 1.78"" AMOLED Bluetooth Calling Smartwatch with 368*448 Pixel Resolution 100+ Sports Mode, TWS Connection, Voice Assistance, SPO2 & Heart Rate Monitoring","3,799",Fire-Boltt,Visionary,Modern,Black,1.78 Inches,,,,,,,,
"Fire-Boltt India's No 1 Smartwatch Brand Ring Bluetooth Calling with SpO2 & 1.7” Metal Body with Blood Oxygen Monitoring, Continuous Heart Rate, Full Touch & Multiple Watch Faces","2,499",Fire-Boltt,Ring,strap,Black,1.7 Inches,,,,,,,,
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution","1,799",Fire-Boltt,Ninja Call Pro,Modern,Gold Black,1.83 Inches,,,,,,,,
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Rating, 240*280 Pixel High Resolution","1,799",Fire-Boltt,Ninja Call Pro,Modern,Grey,1.83 Inches,,,,,,,,
"Fire-Boltt Ninja Calling 1.69"" (4.29cm) Bluetooth Calling Smart Watch, Dial Pad, Speaker, AI Voice Assistant with 450 NITS Peak Brightness, Wrist Gaming & 100+ Faces with SpO2,HR, Multiple Sports Mode","1,999",Fire-Boltt,Ninja Calling,Modern,Rose Golden,1.69 Inches,,,,,,,,
"Fire-Boltt Dazzle Plus 1.83"" Smartwatch Full Touch Largest Borderless Display & 60 Sports Modes (Swimming) with IP68 Rating, Sp02 Tracking, Over 100 Cloud Based Watch Faces","1,399",Fire-Boltt,Dazzle,Modern,Black,1.83 Inches,,,,,,,,
"Fire-Boltt Ninja 3 Smartwatch Full Touch 1.69 "" & 60 Sports Modes with IP68, Sp02 Tracking, Over 100 Cloud based watch faces ( Silver )","1,299",Fire-Boltt,Ninja 3,Modern,Grey,1.69 Inches,,,,,,,,
"Fire-Boltt Ninja Calling 1.69"" Bluetooth Calling Smart Watch, Dial Pad, Speaker, AI Voice Assistant with 450 NITS Peak Brightness, Wrist Gaming & 100+ Watch Faces with SpO2, HR, Multiple Sports Mode","1,999",Fire-Boltt,Ninja Calling,Modern,Black,1.69 Inches,,,,,,,,
"Fire-Boltt 360 SpO2 Full Touch Large Display Round Smartwatch with in-Built Games, 8 Days Battery Life, IP67 Water Resistant with Blood Oxygen & Heart Rate Monitoring","1,999",Fire-Boltt,BSW003 360 SpO2,360,Grey,1.3 Inches,,,,,,,,
"Fire-Boltt Ring 3 Smart Watch 1.8 Biggest Display with Advanced Bluetooth Calling Chip, Voice Assistance,118 Sports Modes, in Built Calculator & Games, SpO2, Heart Rate Monitoring","2,998",Fire-Boltt,Ring 3,Modern,Black,1.8 Inches,,,,,,,,
"Fire-Boltt Dagger 1.43"" AMOLED Display Smartwatch with Single BT Bluetooth Calling, IP68, Dual Button Technology, Rugged Build, AI Voice Assistant, Multiple Sports Modes & Health Suite","3,499",Fire-Boltt,,Modern,Grey,1.43 Inches,Dagger,,,,,,,
"Fire-Boltt India's No 1 Smartwatch Brand Talk 2 Bluetooth Calling Smartwatch with Dual Button, Hands On Voice Assistance, 60 Sports Modes, in Built Mic & Speaker with IP68 Rating","1,999",Fire-Boltt,Talk 2,Modern,Black,1.28 Inches,,,,,,,,
"Fire-Boltt Ring 3 Smart Watch 1.8"" Biggest Display Advanced Bluetooth Calling Chip, Voice Assistance,118 Sports Modes, in Built Calculator & Games, SpO2, Heart Rate Monitoring","2,999",Fire-Boltt,Ring 3,Modern,Navy,1.8 Inches,,,,,,,,
"Fire-Boltt Ninja Call Pro Smart Watch Dual Chip Bluetooth Calling, AI Voice Assistance with HD Display, 100 Sports Modes, with SpO2 & Heart Rate Monitoring","1,999",Fire-Boltt,Ninja Call Pro,Modern,Black,1.69 Inches,,,,,,,,
"Noise Pulse Go Buzz Bluetooth Calling Smart Watch, 1.69"" Clear Display, 550Nits,150+ Watch face, Comfort Strap, Heart Rate, Steps & Sleep Tracker, IP68, 7 Days Battery(Jet Black)","1,799",Noise,ColorFit Pulse Go Buzz,Modern,black,1.69 Inches,,,,,,,,
"Noise ColorFit Pulse Grand Smart Watch with 1.69""(4.29cm) HD Display, 60 Sports Modes, 150 Watch Faces, Fast Charge, Spo2, Stress, Sleep, Heart Rate Monitoring & IP68 Waterproof (Jet Black)","1,499",Noise,ColorFit Grand,ColorFit Pulse Grand,black,1.69 Inches,,,,,,,,
